name,price,type,efficiency,wattage,image_url
Silverstone Strider,337.45,ATX,silver,1500,https://cdna.pcpartpicker.com/static/forever/images/product/9b4784f0c87eaeaa10bc83491aa52422.256p.jpg
Silverstone Strider Platinum,149.99,ATX,platinum,750,https://cdna.pcpartpicker.com/static/forever/images/product/9b4784f0c87eaeaa10bc83491aa52422.256p.jpg
Silverstone Strider Titanium,329.99,ATX,titanium,1100,https://cdna.pcpartpicker.com/static/forever/images/product/78c0700f7255dc03f7b53b8236dae0b6.256p.jpg
Silverstone SX-G,133.09,SFX,gold,700,https://cdna.pcpartpicker.com/static/forever/images/product/dae466078494c93df86edd455e9094e8.256p.jpg
Super Flower Leadex Platinum SE,164.99,ATX,platinum,1000,https://cdna.pcpartpicker.com/static/forever/images/product/c8104f5568d6c0b85acd6b02f4ca669a.256p.jpg
Super Flower Leadex Platinum SE,179.99,ATX,platinum,1200,https://cdna.pcpartpicker.com/static/forever/images/product/c8104f5568d6c0b85acd6b02f4ca669a.256p.jpg
Super Flower Leadex Titanium,239.99,ATX,titanium,850,https://cdna.pcpartpicker.com/static/forever/images/product/eb8ffbb1853ff66c267e3fd4047cb34f.256p.jpg
Super Flower Leadex V Pro,249.99,ATX,gold,1000,https://cdna.pcpartpicker.com/static/forever/images/product/2b50c32982ce29f2a5596bf10383322f.256p.jpg
Thermaltake Smart,196.77,ATX,bronze,750,https://m.media-amazon.com/images/I/41TubKs3apL.jpg
Thermaltake Toughpower GF A3 - TT Premium Edition,217.0,ATX,gold,1200,https://cdna.pcpartpicker.com/static/forever/images/product/ad75696f5880e84710e8c64cdaada823.256p.jpg
Thermaltake Toughpower GF1 Snow - TT Premium,94.99,ATX,gold,750,https://m.media-amazon.com/images/I/412YrqmdMBL.jpg
Thermaltake Toughpower GF2 ARGB,99.99,ATX,gold,750,https://m.media-amazon.com/images/I/51czZ10PbxL.jpg
Thermaltake Toughpower GF2 ARGB,131.99,ATX,gold,650,https://m.media-amazon.com/images/I/51czZ10PbxL.jpg
Thermaltake Toughpower GF3 TT Premium,119.99,ATX,gold,850,https://cdna.pcpartpicker.com/static/forever/images/product/b61e2d3e03344a41e574c2b58322d8e0.256p.jpg
Thermaltake Toughpower GF3 TT Premium,233.48,ATX,gold,1350,https://cdna.pcpartpicker.com/static/forever/images/product/b61e2d3e03344a41e574c2b58322d8e0.256p.jpg
Vetroo GV1000,135.99,ATX,gold,1000,https://cdna.pcpartpicker.com/static/forever/images/product/e113f34642a10aa8278d556375de6e02.256p.jpg
