name,price,capacity,price_per_gb,type,cache,form_factor,interface,image_url
Seagate Enterprise Capacity,240.44,6000.0,0.04,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/329754e4f794528a9871cec5d543d23f.256p.jpg
Seagate Enterprise Capacity,147.0,8000.0,0.018,7200,256.0,3.5,SAS 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/329754e4f794528a9871cec5d543d23f.256p.jpg
Seagate Enterprise Capacity,169.0,8000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/329754e4f794528a9871cec5d543d23f.256p.jpg
Seagate Enterprise Capacity,199.96,10000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/329754e4f794528a9871cec5d543d23f.256p.jpg
Seagate Enterprise NAS,239.0,5000.0,0.048,7200,128.0,3.5,SATA 6.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/41m4iLw2UTL.jpg
Seagate Exos 7E10 512e/4Kn,244.94,10000.0,0.024,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/6c66f5ecd95539fcc2659ac929c9469c.256p.jpg
Seagate Exos 7E8,129.99,4000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/ae54441dec9c942100012625e32e15d7.256p.jpg
Seagate Exos 7E8 512e,269.99,8000.0,0.034,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/ae54441dec9c942100012625e32e15d7.256p.jpg
Seagate EXOS Enterprise,318.0,6000.0,0.053,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/1c27e073407b0a537a0b939afb114c42.256p.jpg
Seagate Exos X10,811.0,10000.0,0.081,7200,256.0,3.5,SAS 12.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/206570fbd4e6a9cf0addfaa1e6b1df27.256p.jpg
Seagate Exos X16,359.99,10000.0,0.036,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/e950a67e8c0769204d060195b8c44e93.256p.jpg
Seagate Exos X20,289.99,20000.0,0.014,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/41709ead4814bb1350fa3505d707758c.256p.jpg
Seagate FireCuda,166.27,4000.0,0.042,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/a82a914921d63165f8a7b096089ff91f.256p.jpg
Seagate IronWolf NAS,177.99,8000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/ade739fa581e4650e4c6b5e7409a129f.256p.jpg
Seagate IronWolf Pro NAS,209.99,6000.0,0.035,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/ade739fa581e4650e4c6b5e7409a129f.256p.jpg
Seagate SkyHawk,176.95,6000.0,0.029,5900,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/a2b7ca332bf0d1d0802f556a6a19e80c.256p.jpg
Seagate SkyHawk AI,427.45,14000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/79d11f419c95ed35130caec24af2ce50.256p.jpg
Seagate SkyHawk AI,314.99,16000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/79d11f419c95ed35130caec24af2ce50.256p.jpg
Seagate SkyHawk AI,352.99,20000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/79d11f419c95ed35130caec24af2ce50.256p.jpg
Seagate SkyHawk Surveillance,114.99,3000.0,0.038,5900,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/a2b7ca332bf0d1d0802f556a6a19e80c.256p.jpg
Seagate SkyHawk Surveillance,96.17,4000.0,0.024,5000,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/a2b7ca332bf0d1d0802f556a6a19e80c.256p.jpg
Seagate ST1000NX0333,102.0,1000.0,0.102,7200,128.0,2.5,SAS 12.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/d9220b306966ec0567c353723cb261a2.256p.jpg
Seagate ST4000VX000,158.99,4000.0,0.04,5900,64.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41QQNeYlWTL.jpg
Seagate ST5000NM0024,556.49,5000.0,0.111,7200,128.0,3.5,SATA 6.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/41pw8MWMn-L.jpg
Seagate ST500LM021,18.44,500.0,0.037,7200,32.0,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/923df78bd39bd4f885f4f98a36930223.256p.jpg
Seagate ST6000DX000,118.99,6000.0,0.02,7200,128.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/51gOAus7wcL.jpg
Seagate ST6000NM0014,140.0,6000.0,0.023,7200,128.0,3.5,SAS 12.0 Gb/s,https://m.media-amazon.com/images/I/4186Up4lvnL.jpg
Seagate ST6000NM0104,120.0,6000.0,0.02,7200,128.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/21FM4p3M6WL.jpg
