#,name,from_factor,socket,memory_type,memory_max_capacity,price,chipset,producer,ram_slots,m.2 pci-e 3.0,m.2 pci-e 4.0,usb 3 slots,usb 3 headers,usb 3 type-c,vga,dvi,display port,hdmi,pci-e 3.0,pci-e 4.0,external_image
93,Asus ROG STRIX X299-XE GAMIN,ATX,2066,DDR4,128.0,206.99,X299,Asus,8,2.0,0.0,4.0,2.0,,,,,,0,0,https://m.media-amazon.com/images/I/51wg-mssDiL.jpg
94,Asus ROG STRIX X99 GAMIN,ATX,2011-v3,DDR4,128.0,280.85,X99,Asus,8,1.0,0.0,4.0,2.0,,,,,,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/a45700d68843793df6eb94a370c72c04.256p.jpg
95,Asus ROG STRIX Z270F GAMIN,ATX,1151,DDR4,64.0,148.36,Z270,Asus,4,2.0,0.0,4.0,1.0,,,1.0,1.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/c50914f6d3a6ed5677cf24d113be5753.256p.jpg
96,Asus ROG STRIX Z270G GAMIN,ATX,1151,DDR4,64.0,239.99,Z270,Asus,4,2.0,0.0,4.0,1.0,,,,1.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/c50914f6d3a6ed5677cf24d113be5753.256p.jpg
97,Asus ROG STRIX Z370-F GAMIN,ATX,1151,DDR4,64.0,161.99,Z370,Asus,4,2.0,0.0,2.0,,,,1.0,1.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/c1cd0f33ae4b8b6a4d4fea1892abfe7d.256p.jpg
98,ASUS ROG Strix Z390-F Gaming,ATX,1151,DDR4,128.0,209.99,Z390,ASUS,4,,0.0,,,,0.0,0.0,1.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/6ea4c987730f1af0c4819fa9065b52ef.256p.jpg
99,ASUS ROG STRIX Z690-A GAMING WIFI D,ATX,1700,DDR4,128.0,264.99,Z690,ASUS,4,,1.0,4.0,,,0.0,0.0,1.0,1.0,1,1,https://m.media-amazon.com/images/I/519+E97-55L.jpg
100,Asus SABERTOOTH X9,ATX,2011-v3,DDR4,64.0,348.13,X99,Asus,8,,0.0,4.0,2.0,,,,,,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/d574199cf6a6b312c3b5fc127b286da4.256p.jpg
101,ASUS TUF B360-Plus Gamin,ATX,1151,DDR4,64.0,101.99,B360,ASUS,4,,0.0,2.0,2.0,,0.0,0.0,0.0,1.0,6,0,https://cdna.pcpartpicker.com/static/forever/images/product/66cf6b59c9ea67d960fc746ff1a008e6.256p.jpg
102,ASUS TUF GAMING Z690-PLUS WIFI D,ATX,1700,DDR4,128.0,264.99,Z690,ASUS,4,1.0,3.0,4.0,,,0.0,0.0,1.0,1.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/f6a3e400c28a84d7add7dabc7f5cbd6a.256p.jpg
103,Asus TUF X299 MARK,ATX,2066,DDR4,128.0,220.99,X299,Asus,8,2.0,0.0,4.0,2.0,,,,,,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/941197f5362d1d91da5bef98e579be50.256p.jpg
104,ASUS TUF X470-Plus Gamin,ATX,AM4,DDR4,64.0,134.99,X470,ASUS,4,1.0,0.0,2.0,4.0,,0.0,0.0,0.0,0.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/8f9c4e5a54a474f18e509d3e1e2a286a.256p.jpg
105,ASUS WS X299 SAG,CEB,2066,DDR4,128.0,517.99,X299,ASUS,8,1.0,0.0,6.0,2.0,,0.0,0.0,0.0,0.0,7,0,https://cdna.pcpartpicker.com/static/forever/images/product/a2d655edb1c4313bdbee87b9ff2283bb.256p.jpg
106,Asus X99-DELUXE I,ATX,2011-v3,DDR4,128.0,299.99,X99,Asus,8,1.0,0.0,4.0,2.0,,,,,,0,0,https://m.media-amazon.com/images/I/61IVxO7sH+L.jpg
107,ASUS X99-E WS USB 3.,"XL-ATX, CEB",2011-V3,DDR4,128.0,472.47,X99,ASUS,8,1.0,0.0,8.0,4.0,,0.0,0.0,0.0,0.0,7,0,https://m.media-amazon.com/images/I/519yXEKlPhL.jpg
108,Asus Z170-,ATX,1151,DDR4,64.0,148.49,Z170,Asus,4,1.0,0.0,2.0,2.0,,1.0,1.0,1.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/275bd01f746af921f9739489bb235716.256p.jpg
109,EVGA Z370 Classified,ATX,1151,DDR4,64.0,205.99,Z370,EVGA,4,1.0,0.0,6.0,2.0,,0.0,0.0,0.0,0.0,6,0,https://cdna.pcpartpicker.com/static/forever/images/product/42cd79f1126a2f5d1c58ceb748367c46.256p.jpg
110,Gigabyte 970-Gaming,ATX,AM3+,DDR3,32.0,127.46,970,Gigabyte,4,0.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,2,0,https://m.media-amazon.com/images/I/61zld73TszL.jpg
111,Gigabyte 970A-DS3,ATX,AM3+,DDR3,32.0,59.99,970,Gigabyte,4,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0,0,https://images-na.ssl-images-amazon.com/images/I/61Sy5pQ9YPL.jpg
112,Gigabyte 990FX-Gamin,ATX,"AM3, AM3+",DDR3,32.0,124.28,990FX,Gigabyte,4,0.0,0.0,2.0,,,0.0,0.0,0.0,0.0,0,0,https://m.media-amazon.com/images/I/611iRc-Uj7L.jpg
113,Gigabyte AB350-Gaming 3,ATX,AM4,DDR4,64.0,84.99,B350,Gigabyte,4,1.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://m.media-amazon.com/images/I/51IFLBU8jpL.jpg
114,Gigabyte AB350M-HD3,Micro-ATX,AM4,DDR4,32.0,99.15,B350,Gigabyte,2,1.0,0.0,4.0,,,0.0,0.0,0.0,0.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/7ab99a71bf0ed32723e7455cefff30a3.256p.jpg
115,Gigabyte Aorus X299-Gaming,ATX,2066,DDR4,128.0,438.62,X299,Gigabyte,8,1.0,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,5,0,https://m.media-amazon.com/images/I/51z9ptmwyJL.jpg
116,Gigabyte Aorus Z270X-Gaming,ATX,1151,DDR4,64.0,422.58,Z270,Gigabyte,4,0.0,0.0,5.0,4.0,,0.0,0.0,0.0,0.0,6,0,https://m.media-amazon.com/images/I/81j3TAx2YpL.jpg
117,Gigabyte AX370-Gaming 5,ATX,AM4,DDR4,64.0,189.98,X370,Gigabyte,4,1.0,0.0,6.0,2.0,,0.0,0.0,0.0,0.0,2,0,https://m.media-amazon.com/images/I/51TaP-OIwEL.jpg
118,Gigabyte B250-FinTech 11+1 BTC Editio,ATX,1151,DDR4,64.0,59.99,B250,Gigabyte,4,,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,12,0,https://cdna.pcpartpicker.com/static/forever/images/product/f52a9a0b2a28f096b5b1e5bf02707224.256p.jpg
119,Gigabyte B360M DS3,Micro-ATX,1151,DDR4,64.0,63.99,B360,Gigabyte,4,1.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,3,0,https://m.media-amazon.com/images/I/51CbQdmpitL.jpg
120,Gigabyte B450 Aorus M,Micro-ATX,AM4,DDR4,64.0,69.99,B450,Gigabyte,4,1.0,0.0,4.0,2.0,,0.0,0.0,0.0,1.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/9c229eef9d9724da36a40412ab564c17.256p.jpg
121,Gigabyte B550M Aorus Pro,Micro-ATX,AM4,DDR4,128.0,129.99,B550,Gigabyte,4,1.0,1.0,4.0,,,0.0,0.0,1.0,1.0,2,1,https://cdna.pcpartpicker.com/static/forever/images/product/6ee60c91fb16b4bddf49fc49cd080a16.256p.jpg
122,Gigabyte B560M DS3,Micro-ATX,1200,DDR4,128.0,81.99,B560,Gigabyte,4,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,2,1,https://cdna.pcpartpicker.com/static/forever/images/product/0deb2420299098824fb58d364339023b.256p.jpg
123,GIGABYTE B650M DS3,Micro-ATX,AM5,DDR5,128.0,119.99,B650,Gigabyte,4,,2.0,2.0,,,0.0,0.0,2.0,1.0,1,1,https://cdna.pcpartpicker.com/static/forever/images/product/c2e7c6c86640a343fb44ae052217c200.256p.jpg
124,Gigabyte B660 Gaming X AX DDR,ATX,1700,DDR4,128.0,179.99,B660,Gigabyte,4,1.0,2.0,2.0,,,0.0,0.0,1.0,1.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/5f39595e6f270ae24f1c00748cdde442.256p.jpg
125,Gigabyte F2A88XN-WIF,Mini-ITX,FM2+,DDR3,64.0,320.58,A88X,Gigabyte,2,0.0,0.0,2.0,2.0,,0.0,1.0,0.0,2.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/fce1de593608054d0dcd9809337556b6.256p.jpg
126,Gigabyte GA-Z97M-D3H GL/USB3.0/HDMI/DVI/VGA Z9,Micro-ATX,1150,DDR3,32.0,1180.05,Z97,Gigabyte,4,,0.0,,,,,,,,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/120239b1f4c3294414d2dcb5378131ce.256p.jpg
127,Gigabyte H110M-S2H,Micro-ATX,1151,DDR4,32.0,127.36,H110,Gigabyte,2,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/1350738cae4c916ffc39bf2c9527b9d2.256p.jpg
128,Gigabyte H470 HD3,ATX,1200,DDR4,128.0,129.99,H470,Gigabyte,4,,0.0,,,,0.0,0.0,0.0,0.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/bf591dd3ae7eac4208add36ab4158361.256p.jpg
129,Gigabyte TRX40 Aorus Maste,E-ATX,TRX40,DDR4,256.0,479.99,TRX40,Gigabyte,8,3.0,0.0,,4.0,,0.0,0.0,0.0,0.0,0,4,https://cdna.pcpartpicker.com/static/forever/images/product/0262d145d764aadb9c60889ad23605ac.256p.jpg
130,Gigabyte X299 UD,ATX,2066,DDR4,128.0,212.11,X299,Gigabyte,8,2.0,0.0,6.0,4.0,,0.0,0.0,0.0,0.0,5,0,https://m.media-amazon.com/images/I/61C62peknDL.jpg
131,Gigabyte X299X Aorus Maste,E-ATX,2066,DDR4,256.0,410.4,X299,Gigabyte,8,3.0,0.0,6.0,4.0,,0.0,0.0,0.0,0.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/fa2e06a333db47bdeb767e8571bf91b4.256p.jpg
132,Gigabyte X299X Designare 10,E-ATX,2066,DDR4,256.0,574.99,X299,Gigabyte,8,2.0,0.0,4.0,,,0.0,0.0,0.0,0.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/334432c28b403a4cfb2a24ad86260fb7.256p.jpg
133,Gigabyte X470 Aorus Gaming 5 WiF,ATX,AM4,DDR4,64.0,167.19,X470,Gigabyte,4,2.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,2,0,https://m.media-amazon.com/images/I/61ji1DJhLmL.jpg
134,Gigabyte X570 UD,ATX,AM4,DDR4,128.0,159.99,X570,Gigabyte,4,1.0,0.0,4.0,4.0,,0.0,0.0,0.0,1.0,0,5,https://cdna.pcpartpicker.com/static/forever/images/product/575459297fc3c5490b6a3878a2bd578f.256p.jpg
135,Gigabyte X570S Aorus Elit,ATX,AM4,DDR4,128.0,199.99,X570,Gigabyte,4,,3.0,,,,0.0,0.0,0.0,1.0,0,3,https://cdna.pcpartpicker.com/static/forever/images/product/8ba97ee3dffbeb15bc7f27c76cde6acc.256p.jpg
136,Gigabyte X99-UD5 WIF,E-ATX,2011-V3,DDR4,64.0,316.13,X99,Gigabyte,8,0.0,0.0,8.0,4.0,,0.0,0.0,0.0,0.0,4,0,https://m.media-amazon.com/images/I/51ODilB87BL.jpg
137,Gigabyte Z170M-D3,Micro-ATX,1151,DDR4,64.0,112.43,Z170,Gigabyte,4,1.0,0.0,2.0,4.0,,1.0,1.0,0.0,1.0,3,0,https://images-eu.ssl-images-amazon.com/images/I/61hMwlOlefL.jpg
138,Gigabyte Z170X Ultra Gamin,ATX,1151,DDR4,64.0,135,Z170,Gigabyte,4,0.0,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,6,0,https://m.media-amazon.com/images/I/615BKSQVs2L.jpg
139,Gigabyte Z370 Aorus Gaming,ATX,1151,DDR4,64.0,149.99,Z370,Gigabyte,4,1.0,0.0,5.0,2.0,,0.0,0.0,0.0,0.0,6,0,https://static.gigabyte.com/StaticFile/Image/Global/b1559ab1e167c09ef1f6191336d36a48/Product/20724
140,Gigabyte Z390 Aorus Pro WiF,ATX,1151,DDR4,64.0,169.99,Z390,Gigabyte,4,2.0,0.0,3.0,2.0,,0.0,0.0,0.0,1.0,6,0,https://cdna.pcpartpicker.com/static/forever/images/product/a735153cb96091c6e69f267386e177df.256p.jpg
141,Gigabyte Z390 Designar,ATX,1151,DDR4,64.0,169.99,Z390,Gigabyte,4,2.0,0.0,4.0,2.0,,0.0,0.0,1.0,1.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/e6ca8ab53946c008e506432f0ee86a3b.256p.jpg
142,Gigabyte Z390 I Aorus Pro WiF,Mini-ITX,1151,DDR4,32.0,164.99,Z390,Gigabyte,2,1.0,0.0,4.0,3.0,,0.0,0.0,1.0,1.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/faffdd443e284a7f37a3f337c3d2ffff.256p.jpg
143,Gigabyte Z390 UD,ATX,1151,DDR4,128.0,84.99,Z390,Gigabyte,4,,0.0,,,,0.0,0.0,0.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/22573d2c099a90eb53acfd285b0fbed1.256p.jpg
144,Gigabyte Z490 Aorus Pro A,ATX,1200,DDR4,64.0,299,Z490,Gigabyte,4,3.0,0.0,3.0,2.0,,0.0,0.0,0.0,1.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/3718be5ef70c16f5dfb16cf28596ab9e.256p.jpg
145,Gigabyte Z490 UD A,ATX,1200,DDR4,64.0,169,Z490,Gigabyte,4,3.0,0.0,4.0,2.0,,0.0,0.0,0.0,1.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/ffa7e43d03d781ddc117d93296eb30ce.256p.jpg
146,Gigabyte Z590 Aorus Maste,ATX,1200,DDR4,128.0,129.99,Z590,Gigabyte,4,2.0,1.0,4.0,,,0.0,0.0,1.0,0.0,1,2,https://cdna.pcpartpicker.com/static/forever/images/product/dc3885f711fcf1a1bb4fe3a92a4d31ca.256p.jpg
147,Gigabyte Z590 UD A,ATX,1200,DDR4,128.0,209.99,Z590,Gigabyte,4,1.0,1.0,4.0,,,0.0,0.0,1.0,0.0,3,1,https://cdna.pcpartpicker.com/static/forever/images/product/d194f5096bf0c5c5abe41aff46406a4e.256p.jpg
148,MSI A320M-A Pro,Micro-ATX,AM4,DDR4,32.0,54.99,A320,MSI,2,,0.0,4.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/f1398e1d4522992aeed28eb9f6385679.256p.jpg
149,MSI A520M-A Pr,Micro-ATX,AM4,DDR4,64.0,69.99,A520,MSI,2,1.0,,4.0,2.0,,0.0,1.0,0.0,1.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/f210cab1260cc8cd402ee007cc382029.256p.jpg
150,MSI B150 PC Mat,ATX,1151,DDR4,64.0,76.99,B150,MSI,4,0.0,0.0,4.0,2.0,,1.0,1.0,0.0,1.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/9b72b75f56e5f2d984b3fe537ce47982.256p.jpg
151,MSI B360M Morta,Micro-ATX,1151,DDR4,64.0,99.99,B360,MSI,4,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,4,0,https://cdna.pcpartpicker.com/static/forever/images/product/1dea452ec2e1084d5966031a86f48d1e.256p.jpg
152,MSI B365M Pro-VH,Micro-ATX,1151,DDR4,32.0,48.27,B365,MSI,2,1.0,0.0,4.0,1.0,,0.0,0.0,0.0,1.0,3,0,https://cdna.pcpartpicker.com/static/forever/images/product/d99f5c787c137193d68e3c6786f278c6.256p.jpg
153,MSI B450 Gaming Plu,ATX,AM4,DDR4,64.0,94.04,B450,MSI,4,1.0,0.0,2.0,2.0,,0.0,0.0,0.0,1.0,1,0,https://m.media-amazon.com/images/I/61-3Dc+m9DL.jpg
154,MSI B450M Gaming Plu,Micro-ATX,AM4,DDR4,32.0,89.99,B450,MSI,2,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1,0,https://m.media-amazon.com/images/I/61YjcKG-z6L.jpg
155,MSI B560M Pro-VD,Micro-ATX,1200,DDR4,128.0,119.99,B560,MSI,4,1.0,1.0,2.0,,,1.0,0.0,1.0,1.0,2,1,https://cdna.pcpartpicker.com/static/forever/images/product/5be07f4d5e1d91d779c39a7af8c9efa3.256p.jpg
156,MSI H310M Pro-M,Micro-ATX,1151,DDR4,32.0,59.99,H310,MSI,2,1.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://cdna.pcpartpicker.com/static/forever/images/product/6930e87af100cac85c270e2d78835a87.256p.jpg
157,MSI MAG B560M Morta,Micro-ATX,1200,DDR4,128.0,109.99,B560,MSI,4,1.0,1.0,,,,0.0,0.0,1.0,1.0,2,1,https://cdna.pcpartpicker.com/static/forever/images/product/7fac2531fd84562ab9ca62b2c32f1f4d.256p.jpg
158,MSI MAG X570S Tomahawk WiF,ATX,AM4,DDR4,128.0,229.99,X570,MSI,4,,2.0,,,,0.0,0.0,0.0,1.0,2,2,https://cdna.pcpartpicker.com/static/forever/images/product/950dd885063b91719cea31608309066f.256p.jpg
159,MSI MAG Z590 Tomahawk WiF,ATX,1200,DDR4,128.0,149.99,Z590,MSI,4,2.0,1.0,4.0,,,0.0,0.0,1.0,1.0,3,1,https://cdna.pcpartpicker.com/static/forever/images/product/4af41d22c160814fa0c2e22a1a1e7209.256p.jpg
160,MSI MEG Z490 AC,ATX,1200,DDR4,128.0,279.99,Z490,MSI,4,2.0,,2.0,,,0.0,0.0,0.0,0.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/a22733cc8b0dca99ebe441e3579c8c59.256p.jpg
161,MSI MEG Z590I Unif,Mini-ITX,1200,DDR4,64.0,369.99,Z590,MSI,2,1.0,1.0,,,,0.0,0.0,1.0,1.0,0,1,https://cdna.pcpartpicker.com/static/forever/images/product/9d4667a9947754e1451e3832ee031490.256p.jpg
162,MSI MPG Z390 Gaming Pro Carbo,ATX,1151,DDR4,64.0,198.38,Z390,MSI,4,2.0,0.0,,4.0,,0.0,0.0,1.0,1.0,6,0,https://cdna.pcpartpicker.com/static/forever/images/product/91d7402ac6c9d16afc48f31c5165cf3d.256p.jpg
163,MSI MPG Z390M Gaming Edge AC,Micro-ATX,1151,DDR4,128.0,180.99,Z390,MSI,4,,0.0,,,,0.0,0.0,0.0,0.0,0,0,https://m.media-amazon.com/images/I/31P9KstMpuL.jpg
164,MSI MPG Z590 Gaming Forc,ATX,1200,DDR4,128.0,119.99,Z590,MSI,4,2.0,1.0,2.0,,,0.0,0.0,1.0,1.0,3,2,https://cdna.pcpartpicker.com/static/forever/images/product/5242ce48db07728c3e99ee5d821d4e3e.256p.jpg
165,MSI PRO B660M-A WIFI DDR,Micro-ATX,1700,DDR4,128.0,149.99,B660,MSI,4,,1.0,2.0,,,0.0,0.0,2.0,2.0,2,1,https://cdna.pcpartpicker.com/static/forever/images/product/3cbf74a6886df1b73c6db3935b1b24e1.256p.jpg
166,MSI PRO B660M-G DDR,Micro-ATX,1700,DDR4,64.0,99.99,B660,MSI,2,,1.0,4.0,,,1.0,0.0,1.0,1.0,1,1,https://cdna.pcpartpicker.com/static/forever/images/product/8658cf6d48409be106fc2995fad9984d.256p.jpg
167,MSI X370 Gaming Pro Carbo,ATX,AM4,DDR4,64.0,118.99,X370,MSI,4,1.0,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,2,0,https://m.media-amazon.com/images/I/5167pK9B0UL.jpg
168,MSI X470 Gaming Plus Max,ATX,AM4,DDR4,64.0,109.99,X470,MSI,4,1.0,0.0,4.0,4.0,,0.0,0.0,0.0,0.0,2,0,https://cdna.pcpartpicker.com/static/forever/images/product/67c9fcef981a962757caaf4c26082dc0.256p.jpg
169,MSI Z390-A Pro,ATX,1151,DDR4,128.0,129.99,Z390,MSI,4,,0.0,,,,0.0,0.0,1.0,0.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/65d2e2e1dd6c41fe051500c6d88ffe0c.256p.jpg
170,NZXT N7 Z390 Intel Z390,ATX,1151,DDR4,64.0,249.99,Z390,NZXT,4,2.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/9f1ed4f4946aaf83258d5d7cfa5d90d5.256p.jpg
