#,name,pci-e,series,vram,cores,memory_clock,boost_clock,price,producer,length,slots,8-pin connectors,6-pin connectors,hdmi,display port,dvi,vga,sync,tdp,image_url,gaming,graphic design,programming,office
16,ASUS GeForce RTX 3060 Phoenix V2 12G LHR,4.0,GeForce RTX 3060,12,3584,15000,1807,318.14,ASUS,177.0,2.5,1.0,0.0,1.0,3.0,0.0,0.0,,170,https://cdna.pcpartpicker.com/static/forever/images/product/b479b4e0786fdadf541cfad257726361.256p.jpg,TRUE,TRUE,FALSE,FALSE
17,ASUS GeForce RTX 3060 TUF LHR,4.0,GeForce RTX 3060,12,3584,15000,1882,462.59,ASUS,301.0,2.7,1.0,0.0,2.0,3.0,0.0,0.0,,170,https://cdna.pcpartpicker.com/static/forever/images/product/715f2901c5912c64e515a0a82226d20e.256p.jpg,TRUE,TRUE,FALSE,FALSE
18,Asus PH GTX 1050 2G,3.0,GeForce GTX 1050,2,640,7008,1455,149.0,ASUS,192.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,G-Sync,75,https://cdna.pcpartpicker.com/static/forever/images/product/b836633d335617f71eb7b4e5f0ba43b7.256p.jpg,FALSE,FALSE,TRUE,TRUE
19,Asus R7250 1GD5 V2,3.0,Radeon R7 250,1,384,1125,925,89.99,ASUS,168.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0,https://cdna.pcpartpicker.com/static/forever/images/product/187755be175a11a34127855030292282.256p.jpg,FALSE,FALSE,TRUE,TRUE
20,ASUS Radeon RX 5700,4.0,Radeon RX 5700,8,2304,14000,1725,389.99,ASUS,270.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,FreeSync,180,https://cdna.pcpartpicker.com/static/forever/images/product/2270978db545fc416882d48b1c08a55a.256p.jpg,TRUE,TRUE,FALSE,FALSE
21,ASUS Radeon RX 6600 XT ROG Strix OC,4.0,Radeon RX 6600 XT,8,2048,16000,2607,629.55,ASUS,243.0,2.5,1.0,0.0,1.0,3.0,0.0,0.0,FreeSync,160,https://cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg,TRUE,TRUE,FALSE,FALSE
22,Asus ROG STRIX GTX 1070TI 8G GAMING,3.0,GeForce GTX 1070 Ti,8,2432,8008,1721,749.0,ASUS,298.0,2.5,1.0,0.0,2.0,2.0,1.0,0.0,G-Sync,180,https://cdna.pcpartpicker.com/static/forever/images/product/02271e25bf612e7c8d8945b61d313139.256p.jpg,FALSE,FALSE,TRUE,FALSE
23,Asus ROG STRIX GTX 1080 8G GAMING,3.0,GeForce GTX 1080,8,2560,10010,1771,524.99,ASUS,298.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,G-Sync,180,https://cdna.pcpartpicker.com/static/forever/images/product/02271e25bf612e7c8d8945b61d313139.256p.jpg,TRUE,FALSE,TRUE,FALSE
24,Asus ROG STRIX RX 560 O4G EVO GAMING,3.0,Radeon RX 560,4,1024,6000,1197,159.99,ASUS,194.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,FreeSync,90,https://m.media-amazon.com/images/I/51bqyPeNkfL.jpg,FALSE,FALSE,TRUE,FALSE
25,Asus RX 550 2G,3.0,Radeon RX 550,2,512,7000,1183,112.99,ASUS,182.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,FreeSync,50,https://cdna.pcpartpicker.com/static/forever/images/product/99bfa58c60da4da0a7e942ff9a645386.256p.jpg,FALSE,FALSE,TRUE,TRUE
26,Asus RX 560 4G,3.0,Radeon RX 560,4,1024,7000,1176,139.99,ASUS,115.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,FreeSync,90,https://cdna.pcpartpicker.com/static/forever/images/product/4a990373908b3721230811f82fa9a3ae.256p.jpg,FALSE,FALSE,TRUE,FALSE
27,Asus RX 560 O2G,3.0,Radeon RX 560,2,1024,7000,1187,120.5,ASUS,115.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,FreeSync,90,https://cdna.pcpartpicker.com/static/forever/images/product/9f7b45a2816c45ea9449e8ca2bf6f616.256p.jpg,FALSE,FALSE,TRUE,FALSE
28,Asus Strix Geforce GTX 980,3.0,GeForce GTX 980,4,2048,7010,1304,527.2,ASUS,289.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,G-Sync,300,https://cdna.pcpartpicker.com/static/forever/images/product/f60cfa38268cb87ff4a377931f682c77.256p.jpg,FALSE,FALSE,FALSE,TRUE
29,EVGA GeForce GT 1030 SC,3.0,GeForce GT 1030,2,384,6008,1544,106.21,EVGA,144.8,,0.0,0.0,0.0,0.0,0.0,0.0,,30,https://cdna.pcpartpicker.com/static/forever/images/product/a6cfb4e58daecb7b49fb19b0f5268a56.256p.jpg,FALSE,FALSE,TRUE,TRUE
30,EVGA GeForce GTX 1060,3.0,GeForce GTX 1060 (6GB),6,1280,8008,1706,159.99,EVGA,266.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,G-Sync,120,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg,FALSE,FALSE,TRUE,FALSE
31,EVGA GeForce GTX 1060 FTW Gaming,3.0,GeForce GTX 1060 (6GB),6,1280,8008,1847,309.99,EVGA,266.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,G-Sync,120,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,FALSE
32,EVGA GeForce GTX 1060 FTW+ Gaming ACX 3.0,3.0,GeForce GTX 1060 (3GB),3,1152,8008,1860,279.99,EVGA,266.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,G-Sync,120,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,FALSE
33,EVGA GeForce GTX 1060 Gaming,3.0,GeForce GTX 1060 (3GB),3,1152,8008,1706,266.12,EVGA,266.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,G-Sync,120,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,FALSE
34,EVGA GeForce GTX 1060 SSC Gaming ACX 3.0,3.0,GeForce GTX 1060 (3GB),3,1152,8008,1835,259.99,EVGA,266.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,G-Sync,120,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,FALSE
35,EVGA GeForce GTX 1070 FTW Hyabrid Gaming,3.0,GeForce GTX 1070,8,1920,8008,1797,429.99,EVGA,266.7,2.0,2.0,0.0,0.0,0.0,0.0,0.0,G-Sync,150,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,FALSE
36,EVGA GeForce GTX 1070 SC Gaming ACX 3.0,3.0,GeForce GTX 1070,8,1920,8008,1784,420.0,EVGA,266.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,G-Sync,150,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,FALSE
