#,name,socket,price,producer,base_clock,turbo_clock,cores,threads,tdp,integrated graphics,image_url,gaming,graphic design,programming,office
25,AMD Ryzen 3 3200G,AM4,99.00,AMD,3.6,4.0,4,4,65,Radeon RX Vega 8,https://cdna.pcpartpicker.com/static/forever/images/product/3567a863156c083a7d4c8fcb7e0dbdac.256p.jpg,FALSE,FALSE,TRUE,TRUE
26,AMD Ryzen 3 3300X,AM4,120.00,AMD,3.8,4.3,4,8,65,,https://cdna.pcpartpicker.com/static/forever/images/product/614673693f9281d17b521cbf52799c68.256p.jpg,FALSE,FALSE,TRUE,TRUE
27,AMD Ryzen 3 4100,AM4,69.00,AMD,3.8,4.0,4,8,65,,https://cdna.pcpartpicker.com/static/forever/images/product/43c4d752d1441ed420dd80502e718918.256p.jpg,FALSE,FALSE,TRUE,TRUE
28,AMD Ryzen 5 1400,AM4,139.99,AMD,3.2,3.4,4,8,65,,https://cdna.pcpartpicker.com/static/forever/images/product/42897d7fd845792aaa6a666396777d04.256p.jpg,FALSE,FALSE,TRUE,TRUE
29,AMD Ryzen 5 1500X,AM4,152.99,AMD,3.5,3.7,4,8,65,,https://cdna.pcpartpicker.com/static/forever/images/product/42897d7fd845792aaa6a666396777d04.256p.jpg,FALSE,FALSE,TRUE,TRUE
30,AMD Ryzen 5 1600,AM4,104.99,AMD,3.2,3.6,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/62069eabe77fa79c55158028545484f2.256p.jpg,FALSE,FALSE,TRUE,TRUE
31,AMD Ryzen 5 1600 AF,AM4,109.99,AMD,3.2,3.6,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/62069eabe77fa79c55158028545484f2.256p.jpg,FALSE,FALSE,TRUE,TRUE
32,AMD Ryzen 5 1600X,AM4,204.99,AMD,4.1,4.8,6,12,95,,https://cdna.pcpartpicker.com/static/forever/images/product/62069eabe77fa79c55158028545484f2.256p.jpg,FALSE,FALSE,TRUE,TRUE
33,AMD Ryzen 5 2400G,AM4,123.89,AMD,3.6,3.9,4,8,65,Radeon RX Vega 11,https://cdna.pcpartpicker.com/static/forever/images/product/f7db92c656335d75ea27d1c702a9de97.256p.jpg,FALSE,FALSE,TRUE,TRUE
34,AMD Ryzen 5 2600,AM4,133.00,AMD,3.4,3.9,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/55aea2dd64e2e3a3e3b1d678048d8d76.256p.jpg,FALSE,FALSE,TRUE,TRUE
